A'G',A'E'/A'G',E'G'/A'G',A'C'/A'G',C'E'/A'G',A'B'/A'C',B'C'/A'C',C'D'/C'E',D'E'/C'E',E'F'/E'G',F'G'/E'G',H,f/H,g/H,i/H,H/A'B',S,S_sys/S,S_dia/S,PSD1,PSD2,PSD3,PSD4,PSD5,PSD6,PSD7,PSD8,PSD9,PSD10,PSD11,PSD12,PSD13,PSD14,PSD15,PSD16,PSD17,PSD18,PSD19,PSD20,SBP,DBP
0.89,0.380898876,0.619101124,0.205575063,0.175323814,0.574961181,0.425038819,0.532165824,0.467834176,0.096647744,0.903352256,7.273847043,0.520086663,0.468344275,0.880751102,69.14570387,2.415896958,0.62369476,0.37630524,0.279271085,0.364965209,0.43331711,0.430864042,0.420327447,0.393908068,0.359887979,0.325335312,0.289705557,0.25062092,0.180985233,0.104124543,0.060982255,0.050297876,0.039585339,0.028761928,0.018082226,0.011950411,0.007925082,0.004932676,117,70
0.736,0.285972195,0.714027805,0.1763472,0.109624996,0.651978384,0.348021616,0.894953943,0.105046057,0.075209561,0.924790439,5.742047094,0.464872,0.606642372,1.239745474,67.85583064,1.551484987,0.542217189,0.457782811,0.185875127,0.237161345,0.288115182,0.300885992,0.287581912,0.274224181,0.259141761,0.243231343,0.227289386,0.210862767,0.194271376,0.17608746,0.143568789,0.107635533,0.074890614,0.060731765,0.049581665,0.038838158,0.02971478,0.020759435,118,70
0.9952,0.359927653,0.640072347,0.223392283,0.13653537,0.553430895,0.446569105,0.668825434,0.331174566,0.081303131,0.918696869,6.371406409,0.490619403,0.475670426,0.799904043,51.78373535,2.251605803,0.592732508,0.407267492,0.222339306,0.300332491,0.345612889,0.336630671,0.321640084,0.292915241,0.263944565,0.237061867,0.206565923,0.148009246,0.08626808,0.059327165,0.043861074,0.033084084,0.024748889,0.01829328,0.013429786,0.009948829,0.00843915,0.006814695,109,72
0.912,0.252040238,0.747959762,0.153902569,0.098137668,0.666971804,0.333028196,0.88982653,0.11017347,0.145335861,0.854664139,3.555903162,0.50541604,0.752330988,1.392204784,37.98409139,1.378438073,0.43643038,0.56356962,0.095256477,0.12504315,0.147292829,0.145244034,0.14100605,0.132407753,0.122489301,0.112187649,0.101513314,0.087576457,0.06337251,0.03961959,0.030512784,0.025733781,0.020772871,0.015639855,0.011013154,0.007941907,0.00511367,0.003859556,105,69
0.954,0.34591195,0.65408805,0.216537498,0.129374452,0.551385975,0.448614025,0.659707488,0.340292512,0.093949444,0.906050556,5.174670052,0.547903009,0.494579445,0.74566128,45.43028488,1.834637847,0.551038408,0.448961592,0.127927302,0.170879479,0.200169851,0.19749119,0.191904609,0.177708396,0.162176575,0.145909721,0.12935045,0.100893301,0.062683183,0.03528418,0.029119097,0.023557117,0.018178236,0.012938749,0.00917021,0.005857395,0.004058578,0.00328828,117,73
0.534,0.550561798,0.449438202,0.308610703,0.241951095,0.590204305,0.409795695,0.582049441,0.417950559,0.258208668,0.741791332,1.126915136,0.24093425,0.176622228,0.602901255,11.58608202,0.187747336,0.802266003,0.197733997,0.003930714,0.004755514,0.005580313,0.006404534,0.006618836,0.006294446,0.005970056,0.005645778,0.005352521,0.00508358,0.004814639,0.004545961,0.004311248,0.004100252,0.003889257,0.003675826,0.003277932,0.002764962,0.002251993,0.001742068,133,84
0.538,0.505576208,0.494423792,0.314165413,0.191410795,0.587532098,0.412467902,0.757232075,0.242767925,0.278076982,0.721923018,0.871779455,0.235230423,0.167840011,0.579307981,8.778784433,0.147044261,1.022043852,0.311289481,0.002322673,0.00281022,0.003297768,0.00378497,0.003908284,0.003710206,0.003512128,0.003314136,0.003140118,0.002984891,0.002829665,0.002674589,0.002539005,0.00241703,0.002295055,0.002171683,0.001942381,0.001646996,0.001351611,0.001057899,136,83
0.521,0.310979843,0.689020157,0.194584398,0.116395445,0.614459687,0.385540313,0.801779411,0.198220589,0.30636708,0.69363292,0.730564682,0.325812692,0.996965914,1.672096469,11.72788071,0.19663109,0.553555228,0.446444772,0.004288601,0.005162761,0.00603692,0.006911079,0.007248872,0.006898451,0.006545435,0.006192419,0.005868324,0.005591097,0.005314517,0.005037936,0.004781951,0.004567742,0.004354743,0.004141744,0.003839467,0.003311295,0.002772083,0.00223287,137,80
0.503,0.460204296,0.539795704,0.261628626,0.198575669,0.617651832,0.382348168,0.674793727,0.325206273,0.219202432,0.780797568,0.870657935,0.303292289,0.350664887,1.0258566,10.71150716,0.196273124,0.626156545,0.373843455,0.00215691,0.002576648,0.002996386,0.003416124,0.003648385,0.003467574,0.00327195,0.003076327,0.002891516,0.00275795,0.002630995,0.002504041,0.002380488,0.002299123,0.00223037,0.002161617,0.00209185,0.001939816,0.001735621,0.001531425,137,81
0.797,0.445420326,0.554579674,0.257214555,0.188205772,0.491948122,0.508051878,0.112197196,0.887802804,0.131248731,0.868751269,5.441976204,0.543866158,0.492429096,0.724967878,53.96143247,1.772155601,0.672872379,0.327127621,0.133447939,0.174625444,0.213226118,0.218328004,0.21312257,0.205296838,0.188955137,0.171958361,0.155925431,0.140856347,0.124549669,0.09215427,0.054808495,0.025121042,0.020323132,0.017439802,0.014335789,0.011011092,0.007828454,0.006492578,113,74
0.8672,0.464944649,0.535055351,0.248830075,0.216114574,0.540904765,0.459095235,0.434408935,0.565591065,0.020925332,0.979074668,4.793965289,0.350065477,0.35244229,0.964581247,41.07257565,1.464045931,0.816214335,0.183785665,0.188748534,0.249163141,0.29860277,0.293601469,0.281129806,0.260693352,0.234751018,0.209764413,0.18810313,0.166200193,0.126302766,0.077563264,0.039345867,0.027280717,0.0167221,0.010663629,0.006189562,0.003060693,0.002324662,0.001662329,121,78
0.697,0.380200861,0.619799139,0.265423242,0.114777618,0.49790652,0.50209348,0.068565601,0.931434399,0.199687859,0.800312141,1.811243382,0.134054014,0.105813562,0.450549081,19.66333917,0.306088633,0.743477682,0.256522318,0.010895959,0.013851429,0.016806899,0.018227828,0.017729723,0.017225779,0.016519858,0.015502238,0.014481126,0.013462726,0.01244945,0.011436294,0.010135436,0.00817205,0.006182286,0.004508017,0.003718908,0.002982699,0.002305708,0.001831674,147,92
0.841,0.489892985,0.510107015,0.266811577,0.223081407,0.486436776,0.513563224,0.355050071,0.644949929,0.069844193,0.930155807,1.769921301,0.393740018,0.411422808,0.927729332,16.21537097,0.607725553,0.772623239,0.227376761,0.021612217,0.028660747,0.034767484,0.03461165,0.033302982,0.031214614,0.028178448,0.025197384,0.022690293,0.020288756,0.01650329,0.010694434,0.005198411,0.003174086,0.002077222,0.001257903,0.000923226,0.000611369,0.000491726,0.000433324,119,80
0.672,0.514285714,0.485714286,0.291255295,0.223030419,0.533939904,0.466060096,0.487577907,0.512422093,0.166968309,0.833031691,2.190424117,0.265909238,0.256614506,0.813698025,20.96007008,0.533683289,0.806592435,0.193407565,0.024803583,0.031499439,0.038195294,0.042019694,0.040414449,0.038680712,0.036740812,0.034092896,0.031385621,0.028763303,0.026702548,0.02474459,0.02265058,0.018430606,0.013480999,0.008559224,0.005746141,0.004248546,0.00275095,0.001750545,114,78
0.912,0.396929825,0.603070175,0.239971713,0.156958112,0.518749302,0.481250698,0.52495986,0.47504014,0.118621848,0.881378152,2.034252361,0.376323082,0.325198676,0.873487394,17.91811888,0.635435377,0.704622371,0.295377629,0.027925208,0.036974459,0.043593947,0.042380135,0.04048049,0.037427517,0.034025363,0.030668504,0.0273557,0.023149912,0.016133922,0.009228739,0.006178082,0.004266503,0.002816672,0.001803717,0.000988578,0.000781155,0.000620381,0.000506975,118,75
0.714,0.566669141,0.433330859,0.289441919,0.277227222,0.512335182,0.487664818,0.360404084,0.639595916,0.728505237,0.271494763,2.544772013,0.091760984,0.288587473,0.860098485,24.03449817,0.702357614,0.825589171,0.174410829,0.03416133,0.043991747,0.053818777,0.057394545,0.055277804,0.05315869,0.049897787,0.045687374,0.041480443,0.038046729,0.035201635,0.032335708,0.026777164,0.019338476,0.011937443,0.007750638,0.005625818,0.003517528,0.002417544,0.001912624,120,79
0.803,0.418430884,0.581569116,0.233773716,0.184657168,0.539410767,0.460589233,0.480711138,0.519288862,0.125102141,0.874897859,2.733574218,0.473908794,0.443740713,0.783686189,26.99603816,0.842123263,0.651738143,0.348261857,0.03322206,0.043123138,0.052300147,0.053078506,0.051456099,0.049302808,0.045657603,0.041923164,0.038245307,0.034611802,0.030549683,0.02284075,0.014300827,0.007946946,0.006544069,0.005330322,0.004079179,0.002804706,0.001650271,0.001272165,135,94
